[2026-07-07T06:06:01.963Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (21ms, 34805B)
[2026-07-07T06:06:01.967Z] GET https://www.gstatic.com/recaptcha/releases/TnA7HacJFoBWt9hnlunBlYfK/recaptcha__en.js → 200 (110ms, -889B)
[2026-07-07T06:06:25.886Z] GET https://joetay.com/new-launches/newport-residences → 200 (230ms, 10226B)
[2026-07-07T06:06:26.126Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-1YQE8JN66P&gtm=45Pe6711v9250883561za200zd9250883561&_p=1783404361146&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQC&are=1&cid=156021363.1783404361&frm=0&pscdl=noapi&rcb=14&sr=1280x800&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=15.7.7&uaw=0&ul=en-us&_s=2&tag_exp=115938465~115938469~119027224~119576881~119576885~119576891~119576895&sid=1783404361&sct=1&seg=1&dl=https%3A%2F%2Fjoetay.com%2F&dt=PropertySG%20%7C%20Singapore%20Property%20Agent%20%E2%80%94%20HDB%2C%20Condo%20%26%20Landed&en=user_engagement&_et=24696&tfd=25112 → pending (?ms, ?B)
[2026-07-07T06:06:26.127Z] POST https://www.google.com/g/collect?v=2&tid=G-1YQE8JN66P&gtm=45Pe6711v9250883561za200zd9250883561&_p=1783404361146&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQC&are=1&cid=156021363.1783404361&frm=0&pscdl=noapi&rcb=14&sr=1280x800&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=15.7.7&uaw=0&ul=en-us&_s=2&tag_exp=115938465%7E115938469%7E119027224%7E119576881%7E119576885%7E119576891%7E119576895&sid=1783404361&sct=1&seg=1&dl=https%3A%2F%2Fjoetay.com%2F&dt=PropertySG+%7C+Singapore+Property+Agent+%E2%80%94+HDB%2C+Condo+%26+Landed&en=user_engagement&_et=24696&tfd=25112&gaf=1 → pending (?ms, ?B)
[2026-07-07T06:06:26.130Z] GET https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;600;700&family=Fraunces:opsz,wght@9..144,500;9..144,600;9..144,700&display=swap → 200 (25ms, 790B)
[2026-07-07T06:06:26.130Z] GET https://joetay.com/new-launches/new-launches.css → 200 (347ms, 8562B)
[2026-07-07T06:06:26.130Z] GET https://joetay.com/new-launches/new-launches.js → 200 (363ms, 5170B)
[2026-07-07T06:06:26.130Z] GET https://www.googletagmanager.com/gtag/js?id=GT-KVFDZD5V → 200 (1ms, -586B)
[2026-07-07T06:06:26.131Z] GET https://joetay.com/js/recaptcha-helper.js → pending (?ms, ?B)
[2026-07-07T06:06:26.131Z] GET https://joetay.com/assets/conversion-tracking.js → pending (?ms, ?B)
[2026-07-07T06:06:26.502Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, -812B)
